"Date","Price","Open","High","Low","Vol.","Change %"
"11 2016","2198.81","2,128.68","2,214.10","2,083.79","-","3.42%"
"10 2016","2126.15","2,164.33","2,169.60","2,114.72","-","-1.94%"
"9 2016","2168.27","2,171.33","2,187.87","2,119.12","-","-0.12%"
"8 2016","2170.95","2,173.15","2,193.81","2,147.58","-","-0.12%"
"7 2016","2173.60","2,099.34","2,177.09","2,074.02","-","3.56%"
"6 2016","2098.86","2,093.94","2,120.55","1,991.68","-","0.09%"
"5 2016","2096.96","2,067.17","2,103.48","2,025.91","-","1.53%"
"4 2016","2065.30","2,056.62","2,111.05","2,033.80","-","0.27%"
"3 2016","2059.74","1,937.09","2,072.21","1,937.09","-","6.60%"
"2 2016","1932.23","1,936.94","1,962.96","1,810.10","-","-0.41%"
"1 2016","1940.24","2,038.20","2,038.20","1,812.29","-","-5.07%"
"12 2015","2043.94","2,082.93","2,104.27","1,993.26","-","-1.75%"
"11 2015","2080.41","2,080.76","2,116.48","2,019.39","-","0.05%"
"10 2015","2079.36","1,919.65","2,094.32","1,893.70","-","8.30%"
"9 2015","1920.03","1,970.09","2,020.86","1,871.91","-","-2.64%"
"8 2015","1972.18","2,104.49","2,112.66","1,867.01","-","-6.26%"
"7 2015","2103.84","2,067.00","2,132.82","2,044.02","-","1.97%"
"6 2015","2063.11","2,108.64","2,129.87","2,056.32","-","-2.10%"
"5 2015","2107.39","2,087.38","2,134.72","2,067.93","-","1.05%"
"4 2015","2085.51","2,067.63","2,125.92","2,048.38","-","0.85%"
"3 2015","2067.89","2,105.23","2,117.52","2,039.69","-","-1.74%"
"2 2015","2104.50","1,996.67","2,119.59","1,980.90","-","5.49%"
"1 2015","1994.99","2,058.90","2,072.36","1,988.12","-","-3.10%"
"12 2014","2058.90","2,065.78","2,093.55","1,972.56","-","-0.42%"
"11 2014","2067.56","2,018.21","2,075.76","2,001.01","-","2.45%"
"10 2014","2018.05","1,971.44","2,018.19","1,820.66","-","2.32%"
"9 2014","1972.29","2,004.07","2,019.26","1,964.04","-","-1.55%"
"8 2014","2003.37","1,929.80","2,005.04","1,904.78","-","3.77%"
"7 2014","1930.67","1,962.29","1,991.39","1,930.67","-","-1.51%"
"6 2014","1960.23","1,923.87","1,968.17","1,915.98","-","1.91%"
"5 2014","1923.57","1,884.39","1,924.03","1,859.79","-","2.10%"
"4 2014","1883.95","1,873.96","1,897.28","1,814.36","-","0.62%"
"3 2014","1872.34","1,857.68","1,883.97","1,834.44","-","0.69%"
"2 2014","1859.45","1,782.68","1,867.92","1,737.92","-","4.31%"
"1 2014","1782.59","1,845.86","1,850.84","1,770.45","-","-3.56%"
"12 2013","1848.36","1,806.55","1,849.44","1,767.99","-","2.36%"
"11 2013","1805.81","1,758.70","1,813.55","1,746.20","-","2.80%"
"10 2013","1756.54","1,682.41","1,775.22","1,646.47","-","4.46%"
"9 2013","1681.55","1,635.95","1,729.86","1,633.41","-","2.97%"
"8 2013","1632.97","1,689.42","1,709.67","1,627.47","-","-3.13%"
"7 2013","1685.73","1,609.78","1,698.78","1,604.57","-","4.95%"
"6 2013","1606.28","1,631.71","1,654.19","1,560.33","-","-1.50%"
"5 2013","1630.74","1,597.55","1,687.18","1,581.28","-","2.08%"
"4 2013","1597.57","1,569.18","1,597.57","1,536.03","-","1.81%"
"3 2013","1569.19","1,514.68","1,570.28","1,501.48","-","3.60%"
"2 2013","1514.68","1,498.11","1,530.94","1,485.01","-","1.11%"
"1 2013","1498.11","1,426.19","1,509.94","1,426.19","-","5.04%"
"12 2012","1426.19","1,416.34","1,448.00","1,398.11","-","0.71%"
"11 2012","1416.18","1,412.20","1,434.27","1,343.35","-","0.28%"
"10 2012","1412.16","1,440.90","1,470.96","1,403.28","-","-1.98%"
"9 2012","1440.67","1,406.54","1,474.51","1,396.56","-","2.42%"
"8 2012","1406.58","1,379.32","1,426.68","1,354.65","-","1.98%"
"7 2012","1379.32","1,362.33","1,391.74","1,325.41","-","1.26%"
"6 2012","1362.16","1,309.87","1,363.46","1,266.74","-","3.96%"
"5 2012","1310.33","1,397.86","1,415.32","1,291.98","-","-6.27%"
"4 2012","1397.91","1,408.47","1,422.38","1,357.38","-","-0.75%"
"3 2012","1408.47","1,365.90","1,419.15","1,340.03","-","3.13%"
"2 2012","1365.68","1,312.45","1,378.04","1,312.45","-","4.06%"
"1 2012","1312.41","1,258.86","1,333.47","1,258.86","-","4.36%"
"12 2011","1257.60","1,246.91","1,269.37","1,202.37","-","0.85%"
"11 2011","1246.96","1,251.00","1,277.55","1,158.66","-","-0.51%"
"10 2011","1253.30","1,131.21","1,292.66","1,074.77","-","10.77%"
"9 2011","1131.42","1,219.12","1,229.29","1,114.22","-","-7.18%"
"8 2011","1218.89","1,292.59","1,307.38","1,101.54","-","-5.68%"
"7 2011","1292.28","1,320.64","1,356.48","1,282.86","-","-2.15%"
"6 2011","1320.64","1,345.20","1,345.20","1,258.07","-","-1.83%"
"5 2011","1345.20","1,365.21","1,370.58","1,311.80","-","-1.35%"
"4 2011","1363.61","1,329.48","1,364.56","1,294.70","-","2.85%"
"3 2011","1325.83","1,328.64","1,332.28","1,249.05","-","-0.10%"
"2 2011","1327.22","1,289.14","1,344.07","1,289.14","-","3.20%"
"1 2011","1286.12","1,257.62","1,302.67","1,257.62","-","2.26%"
"12 2010","1257.64","1,186.60","1,262.60","1,186.60","-","6.53%"
"11 2010","1180.55","1,185.71","1,227.08","1,173.00","-","-0.23%"
"10 2010","1183.26","1,143.49","1,196.14","1,131.87","-","3.69%"
"9 2010","1141.20","1,049.72","1,157.16","1,049.72","-","8.76%"
"8 2010","1049.33","1,107.53","1,129.24","1,039.70","-","-4.74%"
"7 2010","1101.60","1,031.10","1,120.95","1,010.91","-","6.88%"
"6 2010","1030.71","1,087.30","1,131.23","1,028.33","-","-5.39%"
"5 2010","1089.41","1,188.58","1,205.13","1,040.78","-","-8.20%"
"4 2010","1186.69","1,171.23","1,219.80","1,170.69","-","1.48%"
"3 2010","1169.43","1,105.36","1,180.69","1,105.36","-","5.88%"
"2 2010","1104.49","1,073.89","1,112.42","1,044.50","-","2.85%"
"1 2010","1073.87","1,116.56","1,150.45","1,071.59","-","-3.70%"
"12 2009","1115.10","1,098.89","1,130.38","1,085.89","-","1.78%"
"11 2009","1095.63","1,036.18","1,113.69","1,029.38","-","5.74%"
"10 2009","1036.19","1,054.91","1,101.36","1,019.95","-","-1.98%"
"9 2009","1057.08","1,019.52","1,080.15","991.97","-","3.57%"
"8 2009","1020.62","990.22","1,039.47","978.51","-","3.36%"
"7 2009","987.48","920.82","996.68","869.32","-","7.41%"
"6 2009","919.32","923.26","956.23","888.86","-","0.02%"
"5 2009","919.14","872.74","930.17","866.10","-","5.31%"
"4 2009","872.81","793.59","888.70","783.32","-","9.39%"
"3 2009","797.87","729.57","832.98","666.79","-","8.54%"
"2 2009","735.09","823.09","875.01","734.52","-","-10.99%"
"1 2009","825.88","902.99","943.85","804.30","-","-8.57%"
"12 2008","903.25","888.61","918.85","815.69","-","0.78%"
"11 2008","896.24","968.67","1,007.51","741.02","-","-7.48%"
"10 2008","968.75","1,164.17","1,167.03","839.80","-","-16.94%"
"9 2008","1166.36","1,287.83","1,303.04","1,106.39","-","-9.08%"
"8 2008","1282.83","1,269.42","1,313.15","1,247.45","-","1.22%"
"7 2008","1267.38","1,276.69","1,292.17","1,200.44","-","-0.99%"
"6 2008","1280.00","1,399.62","1,404.05","1,272.00","-","-8.60%"
"5 2008","1400.38","1,385.97","1,440.24","1,373.07","-","1.07%"
