"Date","Price","Open","High","Low","Vol.","Change %"
"12-01-1997","5.933","5.230","6.350","5.150","5.31K","13.64%"
"11-01-1997","5.221","4.825","5.412","4.770","19.80K","10.68%"
"10-01-1997","4.717","5.142","5.262","4.717","0.49K","-9.06%"
"9-01-1997","5.187","4.650","5.250","4.550","50.01K","12.37%"
"8-01-1997","4.616","4.449","4.790","4.297","17.39K","3.29%"
"7-01-1997","4.469","4.620","4.660","4.185","18.58K","-2.85%"
"6-01-1997","4.600","4.850","4.850","4.580","14.58K","-1.14%"
"5-01-1997","4.653","4.660","4.890","4.630","4.28K","0.13%"
"4-01-1997","4.647","4.705","4.705","4.600","19.13K","-8.02%"
"3-01-1997","5.052","5.280","5.390","5.030","3.82K","-4.86%"
"2-01-1997","5.310","4.910","5.335","4.910","18.97K","8.35%"
"1-01-1997","4.901","4.630","5.010","4.600","0.31K","3.40%"
"12-01-1996","4.740","4.680","4.890","4.640","4.35K","0.55%"
"11-01-1996","4.714","4.790","4.920","4.660","19.50K","-1.55%"
"10-01-1996","4.788","4.820","5.000","4.805","0.45K","-0.85%"
"9-01-1996","4.829","5.175","5.175","4.800","5.15K","-6.67%"
"8-01-1996","5.174","5.050","5.190","5.020","15.51K","1.02%"
"7-01-1996","5.122","5.000","5.130","4.860","1.85K","2.87%"
"6-01-1996","4.979","5.350","5.355","4.955","32.40K","-7.47%"
"5-01-1996","5.381","5.300","5.505","5.230","2.49K","1.70%"
"4-01-1996","5.291","5.510","5.510","5.200","13.46K","-4.15%"
"3-01-1996","5.520","5.500","5.705","5.320","2.98K","0.42%"
"2-01-1996","5.497","5.720","5.800","5.420","26.74K","-1.22%"
"1-01-1996","5.565","5.120","5.575","5.120","0.49K","7.79%"
"12-01-1995","5.163","5.180","5.240","5.050","5.15K","-0.44%"
"11-01-1995","5.186","5.300","5.425","5.090","23.55K","-2.83%"
"10-01-1995","5.337","5.300","5.419","5.263","0.62K","-1.80%"
